start_time,flow_packet_num,flow_size,mean_packet_size_32,mean_packet_size_20,mean_packet_size_16,mean_packet_size_8,mean_packet_size_4,coflow_id
33.72533093277767,1608,1047492,651.65625,651.35,651.125,651.625,652.25,1
10910.692108576704,25218,25160845,998.78125,1005.75,1007.4375,1020.5,1024.25,2
10862.589657698794,25274,25214655,991.78125,995.75,996.5625,1011.625,1008.5,2
13138.754192390914,2376,2094565,881.9375,882.2,882.5625,882.625,881.75,3
13183.06420133461,2378,2096173,881.5,881.6,881.125,881.0,881.0,3
15625.803422618865,32560,27988514,869.5,866.8,875.25,878.0,891.75,4
15569.246378490201,32552,27977948,855.1875,852.45,852.4375,875.125,894.25,4
15582.290685315422,32448,27892223,865.15625,859.3,857.1875,862.125,828.75,4
15551.13247976601,32547,27977466,863.28125,868.5,872.6875,875.625,874.0,4
15540.08030240544,32477,27912411,842.3125,831.1,835.5625,845.0,826.0,4
15599.277653888721,32538,27965901,870.1875,863.45,861.4375,862.5,867.0,4
15608.625306700429,32545,27961268,847.59375,845.45,848.0625,847.0,853.25,4
15583.528387191429,32491,27924213,863.09375,858.45,850.5,842.25,836.5,4
15605.307086604174,32532,27954304,856.15625,856.2,852.5625,864.5,866.75,4
15586.918568631692,32521,27944409,869.625,869.7,873.625,873.0,894.75,4
15619.099303574569,32562,27984558,849.59375,861.45,868.125,862.0,852.75,4
15571.739016436768,32542,27974347,848.90625,851.8,852.0625,878.875,893.0,4
15590.45718809619,32491,27921129,854.03125,855.2,851.9375,855.5,883.0,4
15590.070923470392,32556,27985882,860.34375,855.35,847.6875,857.625,853.75,4
15608.920534516215,32501,27927688,862.0,862.4,856.0625,859.625,843.0,4
15542.997439645986,32479,27929076,868.9375,867.85,867.4375,864.875,830.75,4
15541.203903208052,32491,27934025,852.03125,857.65,860.8125,865.5,870.75,4
15610.85214031361,32516,27943872,859.75,853.9,848.4375,838.0,826.0,4
15546.587283967565,32547,27977351,855.0625,850.4,847.9375,831.125,814.25,4
15600.23776130616,32540,27972283,866.90625,861.45,858.25,854.625,853.25,4
15549.805825778261,32528,27953199,855.03125,853.8,857.9375,846.5,829.5,4
15628.725301068489,32492,27912284,851.34375,850.4,841.1875,856.375,848.75,4
15548.065798551954,32531,27955795,855.78125,847.85,846.3125,848.75,845.5,4
15568.768993057654,32449,27887158,849.75,838.85,835.375,848.375,867.75,4
15546.544406811629,32500,27930659,848.875,851.3,851.8125,864.75,845.25,4
15592.104938162714,32605,28021934,846.46875,846.5,852.5,858.5,872.0,4
15604.083376491066,32564,27983220,872.21875,869.35,862.1875,868.625,857.75,4
15567.672830292304,32458,27907720,872.59375,882.3,878.75,870.25,875.25,4
15536.501855671324,32487,27929519,865.875,871.15,867.3125,879.75,853.75,4
15552.18518673724,32541,27956537,865.09375,866.85,861.375,860.5,862.75,4
15569.42557859509,32558,27994404,867.0625,859.5,857.25,851.625,872.0,4
15587.081994019947,32479,27913945,858.46875,851.95,846.125,834.875,834.5,4
15614.391982692427,32573,27990784,866.0,863.9,864.6875,875.0,891.5,4
15571.41495589943,32541,27960346,868.3125,867.6,867.5,880.25,892.5,4
15557.739496127531,32479,27915531,858.125,857.95,855.25,864.5,883.25,4
15594.120646543439,32504,27940345,860.4375,853.5,852.6875,850.875,881.25,4
15590.309734739958,32616,28034155,855.75,854.25,866.75,874.625,889.25,4
15594.139574920653,32461,27894394,858.6875,857.2,855.125,857.375,857.75,4
