start_time,flow_packet_num,flow_sizes,mean_packet_size_32,mean_packet_size_20,mean_packet_size_16,mean_packet_size_8,mean_packet_size_4,coflow_id
2.0,1263,1048162.9,823.2,827.1,827.9,833.8,816.3,1
10910.0,28149,25163564.8,899.2,899.2,897.8,897.6,885.4,2
10871.0,28149,25166711.7,897.0,898.2,898.4,903.2,903.6,2
13134.0,2267,2096927.8,925.7,926.0,927.7,928.7,927.0,3
13192.0,2267,2096717.3,927.0,926.8,926.0,925.7,930.4,3
15610.0,28694,27972984.6,972.4,971.7,970.1,974.4,973.8,4
15605.0,28694,27976267.3,975.4,976.4,976.5,977.9,976.7,4
15538.0,28694,27978379.9,976.6,976.3,978.7,983.2,988.0,4
15603.0,28694,27975910.0,975.3,974.8,975.8,974.3,977.8,4
15588.0,28694,27975499.1,976.6,976.8,975.9,977.0,981.5,4
15591.0,28694,27979934.2,978.4,977.5,977.5,975.7,973.7,4
15586.0,28694,27979082.1,976.4,975.8,975.2,974.8,974.5,4
15580.0,28694,27977226.0,973.3,973.9,974.2,974.1,971.9,4
15559.0,28694,27977782.9,978.8,981.5,980.4,982.1,983.1,4
15561.0,28694,27975947.4,976.1,975.1,974.9,977.2,976.1,4
15545.0,28694,27977518.9,973.2,973.3,973.7,975.5,972.9,4
15625.0,28694,27976385.7,976.4,977.1,978.7,975.9,979.6,4
15546.0,28694,27977809.7,975.0,975.1,975.1,976.3,971.7,4
15631.0,28694,27977400.9,976.2,976.2,977.8,978.2,982.0,4
15625.0,28694,27976890.4,974.7,974.6,973.8,969.2,973.3,4
15536.0,28694,27976227.0,975.8,977.1,978.1,979.5,980.2,4
15531.0,28694,27974981.9,973.5,973.5,973.6,973.9,971.6,4
15538.0,28694,27976006.2,975.8,976.1,974.8,974.8,981.9,4
15630.0,28694,27975209.4,974.3,973.4,975.8,967.8,964.1,4
15624.0,28694,27974301.1,974.9,974.9,975.3,975.4,971.2,4
15571.0,28694,27974318.2,976.4,972.6,973.3,977.0,972.2,4
15566.0,28694,27975111.9,976.8,978.0,977.3,976.1,974.0,4
15618.0,28694,27975695.2,975.8,975.6,975.0,973.9,974.4,4
15577.0,28694,27977290.3,975.9,975.7,975.2,976.8,976.1,4
15536.0,28694,27976779.2,975.5,975.5,975.7,974.9,972.2,4
15582.0,28694,27975633.7,974.1,975.4,975.4,974.2,973.4,4
15536.0,28694,27975824.2,976.2,978.9,978.7,979.5,979.7,4
15549.0,28694,27978531.4,975.9,975.5,976.0,979.1,974.1,4
15568.0,28694,27976149.8,975.3,977.1,974.0,974.0,969.5,4
15602.0,28694,27976179.2,974.3,973.4,974.3,975.4,982.7,4
15561.0,28694,27974380.3,978.6,977.0,978.8,981.0,983.2,4
15572.0,28694,27977526.4,974.8,975.0,975.0,974.2,973.6,4
15587.0,28694,27978161.2,975.6,976.0,977.8,977.2,981.6,4
15571.0,28694,27975062.8,974.0,976.7,975.3,973.7,976.6,4
15623.0,28694,27977268.0,975.4,975.0,974.7,976.8,979.6,4
15590.0,28694,27976389.9,974.8,974.0,974.1,973.5,981.5,4
15549.0,28694,27978101.4,974.8,972.8,972.1,969.6,964.0,4
15630.0,28694,27976075.2,977.6,977.5,978.6,978.0,978.7,4
15605.0,28694,27975899.6,973.9,973.6,973.8,971.2,971.4,4
15539.0,28694,27975185.0,975.8,977.7,974.4,974.1,973.7,4
15612.0,28694,27973531.3,973.6,971.0,969.2,972.1,969.5,4
15608.0,28694,27973906.7,974.4,972.8,970.7,972.1,973.8,4
15608.0,28694,27977031.1,973.8,975.7,973.4,973.7,971.8,4
15572.0,28694,27976962.6,974.5,973.2,973.0,976.7,981.2,4
15580.0,28694,27977031.2,974.3,973.8,974.1,976.2,974.7,4
15540.0,28694,27977344.4,978.5,978.5,978.3,975.5,977.7,4
15606.0,28694,27978341.2,973.6,975.2,975.2,975.6,975.3,4
15545.0,28694,27979063.1,972.9,971.0,970.1,966.9,964.4,4
15575.0,28694,27976328.9,977.8,977.6,976.6,979.5,977.6,4
15548.0,28694,27977990.6,975.3,975.6,975.4,975.9,976.9,4
15590.0,28694,27975343.3,974.4,971.9,972.0,970.7,977.3,4
15551.0,28694,27976521.4,972.2,972.9,971.8,974.6,972.9,4
15554.0,28694,27975886.2,977.0,975.2,974.7,974.5,972.4,4
15539.0,28694,27977710.5,974.4,975.4,975.1,974.2,969.8,4
15563.0,28694,27974192.8,974.3,972.4,972.6,971.1,972.6,4
15560.0,28694,27977590.0,974.2,974.4,972.1,968.6,967.6,4
15618.0,28694,27979869.3,978.7,980.6,979.0,979.4,976.6,4
15562.0,28694,27974402.5,976.0,976.6,978.1,980.9,979.4,4
15555.0,28694,27975751.7,974.2,974.6,974.5,972.0,971.1,4
15617.0,28694,27976071.6,974.8,976.7,975.7,979.4,977.2,4
15601.0,28694,27975863.8,977.0,975.1,974.3,971.8,974.8,4
15619.0,28694,27975465.8,974.6,973.3,973.6,972.8,975.4,4
15556.0,28694,27976254.6,974.0,976.1,974.1,974.8,980.4,4
15625.0,28694,27977028.9,975.4,973.6,973.2,971.9,971.6,4
15609.0,28694,27976225.4,976.8,976.0,975.4,974.1,979.0,4
15559.0,28694,27977690.6,976.2,973.7,972.1,971.2,966.3,4
15549.0,28694,27977683.0,974.6,976.9,976.6,980.1,980.8,4
15628.0,28694,27978372.8,973.4,973.7,975.6,975.6,970.8,4
15630.0,28694,27977541.8,973.3,974.3,975.4,977.7,973.4,4
15572.0,28694,27977303.7,973.6,974.8,974.3,974.0,965.6,4
15606.0,28694,27974877.1,975.0,975.5,976.9,974.8,973.0,4
15544.0,28694,27976540.7,976.4,977.2,978.0,977.4,972.4,4
15591.0,28694,27980127.1,976.4,978.2,977.3,976.4,976.6,4
15593.0,28694,27979674.6,975.1,976.2,977.2,979.6,976.8,4
15589.0,28694,27975928.0,976.1,977.0,976.4,972.4,976.6,4
15591.0,28694,27979208.3,976.4,976.8,975.6,978.4,973.0,4
15587.0,28694,27973927.8,973.6,974.3,974.3,973.8,973.2,4
15543.0,28694,27978034.2,972.4,973.0,971.7,969.3,968.9,4
15600.0,28694,27975377.1,973.0,975.2,974.3,973.3,973.6,4
15604.0,28694,27977171.3,975.3,974.4,976.7,972.7,974.8,4
15543.0,28694,27975408.7,975.4,971.8,973.0,970.8,967.0,4
15594.0,28694,27977719.9,973.2,974.9,975.8,974.7,982.4,4
15540.0,28694,27976735.2,975.2,972.3,972.2,973.6,972.3,4
15612.0,28694,27979112.9,975.1,974.9,974.5,974.2,970.2,4
15631.0,28694,27977553.6,974.2,975.2,974.4,970.2,972.6,4
15616.0,28694,27977062.1,973.8,977.7,978.1,974.4,977.6,4
15551.0,28694,27974598.9,971.6,971.4,972.8,973.3,975.2,4
15567.0,28694,27978224.8,974.5,974.8,974.4,976.1,979.5,4
15554.0,28694,27972173.6,974.3,976.0,973.9,973.5,975.2,4
15535.0,28694,27975479.8,973.1,975.0,974.1,973.9,972.2,4
15621.0,28694,27977373.2,977.2,976.4,975.7,978.8,976.0,4
15611.0,28694,27978000.4,973.6,971.4,970.8,972.1,970.8,4
15566.0,28694,27977741.2,975.3,974.0,973.5,969.4,977.0,4
15576.0,28694,27974874.3,975.8,975.9,976.8,975.3,972.6,4
15619.0,28694,27979209.2,976.3,978.7,978.8,980.9,978.0,4
15577.0,28694,27978236.3,973.1,973.8,971.7,967.6,970.9,4
15608.0,28694,27979078.2,976.8,975.3,976.8,977.8,973.8,4
15589.0,28694,27976490.2,974.2,974.3,973.1,979.7,973.5,4
15557.0,28694,27975278.3,977.3,979.3,979.5,980.5,980.7,4
15615.0,28694,27978364.2,975.2,974.0,974.5,977.6,973.5,4
15603.0,28694,27976246.6,972.4,975.3,975.3,978.6,980.4,4
15607.0,28694,27973941.4,973.8,976.0,976.5,975.1,974.6,4
15534.0,28694,27975429.8,976.6,976.6,976.9,974.8,976.6,4
15541.0,28694,27976218.9,975.3,973.3,973.2,971.7,970.3,4
15540.0,28694,27977047.9,973.4,973.9,974.6,976.6,975.0,4
15534.0,28694,27978306.5,975.6,973.9,972.4,972.1,973.1,4
15579.0,28694,27975765.2,973.3,975.3,975.9,974.8,977.5,4
15629.0,28694,27978225.9,973.3,974.1,973.3,970.2,973.5,4
15586.0,28694,27977578.4,977.4,977.6,978.9,981.2,982.0,4
15567.0,28694,27977850.4,976.1,976.6,975.5,972.9,970.6,4
15626.0,28694,27976930.9,973.2,972.1,972.4,974.8,974.2,4
15617.0,28694,27976268.8,975.6,974.6,974.4,980.1,988.3,4
15574.0,28694,27975328.6,975.6,974.6,977.0,980.9,981.2,4
15568.0,28694,27978801.3,975.4,975.4,973.4,973.8,971.4,4
15567.0,28694,27976773.9,975.7,975.4,974.5,976.5,980.2,4
15593.0,28694,27977221.3,974.6,977.2,977.2,976.9,977.2,4
15605.0,28694,27972939.4,975.6,975.0,975.3,970.6,966.9,4
15587.0,28694,27975330.1,974.6,972.4,972.2,971.5,970.0,4
15554.0,28694,27976352.4,974.0,976.2,975.7,973.7,971.0,4
