start_time,flow_size,mean_packet_size_20,coflow_id
930368.414361328,1021366,695.5,202
930425.2388664646,1048186,712.5,202
930402.1044099054,1070271,716.2,202
930407.0434844247,1009020,695.95,202
930410.8998387232,1053425,713.9,202
930380.2184801337,1029532,718.25,202
930425.8138360593,1029814,708.15,202
2709925.6995744365,1012027,699.2,447
2709994.4209735277,1108704,711.5,447
2709969.7975557423,1100478,713.75,447
2709994.9353471273,1098293,692.75,447
2709926.464817719,1056136,701.15,447
2709930.4403163292,1021538,707.35,447
2709950.554191235,1154197,693.85,447
2709934.6124164914,1098444,708.65,447
2709964.0895126346,1026877,709.45,447
2710008.5356722195,1113055,681.3,447
2709993.8234513416,1050346,690.4,447
2709991.5124989296,1111688,705.6,447
2709921.674417157,1094505,715.75,447
2709919.516713897,1070485,679.45,447
2709939.1987790656,1055896,711.55,447
2709949.6201083874,1146363,688.35,447
2709989.2207543943,1032458,709.8,447
2709957.2979810755,1070713,691.0,447
2709963.6435768898,1093827,707.65,447
2709965.6998059563,1086942,704.85,447
2709990.002704962,1093651,710.2,447
2709997.1977654104,1071283,690.2,447
2709919.833509813,1056534,699.0,447
2709953.66759616,1071193,711.55,447
2709919.34757452,1102311,694.65,447
2709973.0579616497,1093620,716.9,447
2710006.6519856076,1069400,690.75,447
2709947.047323553,1083903,705.35,447
2709967.903436663,1066970,691.75,447
2709922.8355841045,1132252,702.2,447
2709996.4545082008,1149817,717.45,447
2710002.0861773393,1101626,712.0,447
2709984.840258201,1068571,686.5,447
2709943.5964603196,1114274,686.85,447
2710008.685518504,1068914,706.65,447
2710005.92161182,1067199,686.5,447
2709912.5049248165,1075781,720.25,447
2709914.2233753884,1045553,691.8,447
2709919.0630684868,1081778,690.15,447
2709922.621589622,1026499,721.35,447
2709973.808840508,1114443,683.55,447
2709924.4665334644,1094627,703.95,447
2709974.00210413,1079218,715.15,447
2709919.4030720186,1118374,724.35,447
2709971.048455499,1111650,704.05,447
2710000.0681362213,1038008,716.15,447
2709922.769428488,1045038,701.15,447
2709959.3682671296,1007487,698.1,447
2710001.058928764,1131857,700.75,447
2709978.8501323126,1087218,694.95,447
2709924.116955672,1089673,707.5,447
2709940.323920186,1083524,695.1,447
2709955.4511735947,1030225,714.85,447
2709911.3423931478,1109707,692.5,447
2709986.830126165,1042158,694.05,447
2709935.628990809,1094570,711.45,447
2709951.0957122,995495,724.55,447
2709955.596368202,1073781,706.1,447
2709959.6476339176,1073105,689.35,447
2710001.921344186,1055118,698.65,447
2709910.869935788,1111851,713.5,447
2710006.153070657,1059023,701.45,447
2709947.616265036,1061157,703.25,447
2710004.3563589156,1099412,720.85,447
2709977.2550299778,1087655,699.95,447
2709912.0532992096,1112597,703.65,447
2709922.99099375,1074538,702.45,447
2709921.708838089,1049888,694.4,447
2709937.639529048,1069585,699.45,447
2709965.3559696376,1117359,699.65,447
2709944.5001604357,1062232,703.3,447
2709977.8987863786,1019649,698.85,447
2709966.599291417,983558,689.75,447
2709998.2142306953,998359,701.45,447
2709965.048535073,1095086,688.25,447
2709952.012871595,1135074,678.2,447
2709989.981935382,1085842,713.55,447
2709949.0524044014,1036906,699.1,447
2709988.5090122093,1014062,707.6,447
2709946.6065364676,1083558,723.65,447
2709974.228374152,1054507,675.85,447
2709984.1729572704,1071409,690.35,447
2709963.1693086657,1038612,707.95,447
2709923.2787302765,1108707,695.9,447
2709958.88042981,1071035,691.7,447
2709941.6008205097,1028771,694.95,447
2709981.106492713,1078724,716.0,447
2709917.4057293315,1042794,708.2,447
2709942.4812894724,1063535,691.25,447
2709994.456832644,1167222,692.9,447
2710004.2488174695,1063777,702.8,447
2709970.404728214,1033028,708.4,447
2710006.09803594,1068908,697.15,447
2709910.6481865277,1062574,691.75,447
2709981.0690522403,1069295,700.35,447
2709953.3959765276,1065442,698.3,447
2709921.923923473,1114352,706.45,447
2709955.1879550773,1086792,689.65,447
2709973.299027923,1086867,685.25,447
2709967.817966352,1110003,700.25,447
2709985.615690231,1080610,696.5,447
2709947.367565029,1156368,700.5,447
2710008.016400156,1066485,714.75,447
2709946.2715494935,1107870,701.8,447
2709987.9353585425,1088468,719.3,447
2709953.9544106196,1011793,697.3,447
2709953.117545501,1104588,708.3,447
2709936.4636764564,1100213,698.55,447
2709977.4211979266,1107795,710.1,447
2709990.3279963853,1070009,715.1,447
2710000.6635584566,1107809,724.2,447
2710006.096259369,1072268,685.2,447
2709959.2435578285,1066960,679.25,447
2709973.215139773,1117368,710.8,447
2709927.0470524374,1102987,702.9,447
2709910.1726947683,1093512,691.6,447
2709974.521583137,1134772,697.6,447
2709927.112850135,1104702,699.05,447
2709986.586600869,1069984,707.45,447
2709941.609051508,1092690,718.3,447
2709938.1750013554,1073359,694.4,447
2709994.131607499,1040919,712.65,447
2709968.174800223,1064736,702.8,447
2709926.037222638,1064328,683.9,447
2710001.6396880723,1130650,714.75,447
2709911.1935143876,1099458,685.15,447
2709918.0341535946,1059907,688.15,447
2709955.8104418837,1057338,694.6,447
2709920.187731302,1031835,730.45,447
2709918.5823727795,1103370,715.1,447
2709985.478803965,1085874,693.6,447
2710001.2748022126,1098052,701.0,447
2709939.247284345,1146383,703.1,447
2710000.8733449685,1071406,695.65,447
2709927.9801437557,1106616,710.35,447
2709950.641440983,1060402,703.25,447
2709919.797887533,1056652,720.95,447
2709909.025869452,1076408,700.5,447
2709982.5607533497,1066714,722.3,447
2710004.6289360155,1048683,694.05,447
2709936.1068972256,1097274,713.4,447
2709980.7924813945,1073551,683.4,447
2709934.652213487,1086632,691.65,447
2709998.723841702,1070189,693.75,447
2709962.9273620294,1078694,714.95,447
2709938.351198757,1086418,695.7,447
2709946.769028417,1019019,706.8,447
2709960.1439085566,1084415,710.45,447
2709961.1230445644,1086560,688.25,447
2709970.466558351,1033140,705.35,447
2709939.185416569,1055064,694.15,447
2709979.2447744184,1097317,687.4,447
2710001.2356644287,1119892,698.4,447
2709916.7113343044,1029514,703.8,447
2709976.2038582717,1104779,710.0,447
2709935.255428192,1092349,708.25,447
2709954.3906830843,1062788,717.6,447
2709934.337008849,1083096,708.15,447
2709949.5410962957,1092070,689.4,447
2709943.5318502747,1047302,714.35,447
2709969.3613548465,1031242,696.35,447
2709974.3480042485,1060144,701.1,447
2709975.129733395,1017180,698.7,447
2709962.6083774543,1087151,716.1,447
2709971.840893436,1063358,705.1,447
2709925.320377719,1050787,706.1,447
2709987.9602656052,1101558,693.35,447
2709965.8471262692,1080829,686.1,447
2709974.8424918386,1092804,684.05,447
2709994.6119425804,1059981,709.75,447
2709945.7534253476,1049846,697.9,447
2710002.45099948,1068295,703.15,447
2709995.0184043935,1092128,690.5,447
2709999.0556301214,1028359,712.35,447
2709938.434166061,1074653,695.15,447
2709989.311597151,1064786,707.2,447
2709984.1759131197,1062217,704.35,447
2709973.342312269,1125172,700.7,447
2709909.278620501,1127376,693.45,447
2709933.3648905694,1117855,685.1,447
2709975.506796203,1114088,727.0,447
2709911.108017605,1074509,716.55,447
2709917.2532841503,1135690,698.9,447
2709978.9978848347,1090996,701.45,447
