start_time,flow_size,mean_packet_size_20,mean_packet_size_16,mean_packet_size_8,mean_packet_size_4,mean_packet_size_32,coflow_id
930347.6327361435,1053756,758.85,759.125,761.75,762.25,759.0,202
930372.1250612638,1052680,761.1,761.4375,760.75,762.25,761.1875,202
930390.4997545123,1045669,761.8,763.0,764.0,761.75,762.28125,202
930427.5088424163,1049334,761.8,762.5,762.5,762.0,760.34375,202
930385.8555906357,1051990,760.45,762.3125,762.625,766.0,760.46875,202
930382.840390028,1046177,761.85,762.75,762.5,759.0,760.125,202
930406.0483723532,1047825,760.4,759.5625,759.75,760.25,760.625,202
2709966.7005238705,1092109,569.05,569.6875,575.25,575.25,571.65625,447
2709936.82795043,1082439,565.8,570.125,563.625,567.75,568.90625,447
2709952.3659056933,1062297,570.9,569.1875,568.5,574.75,573.40625,447
2709935.6930185608,1083419,574.85,573.4375,575.125,576.0,567.09375,447
2709966.193200189,1063169,568.15,567.125,579.375,576.5,562.1875,447
2709989.9554651123,1079911,562.85,561.0,565.375,565.25,566.28125,447
2709989.971579226,1079332,577.3,576.5,565.125,566.25,571.46875,447
2709966.9236946786,1083864,565.9,566.75,560.375,548.5,568.65625,447
2709957.842795055,1088968,566.7,569.0,566.75,567.0,567.0,447
2709952.3060938423,1074856,566.7,566.1875,555.875,561.75,566.21875,447
2710005.456025533,1090790,572.55,576.375,572.5,580.25,572.59375,447
2709990.9498114306,1059453,572.5,578.1875,577.625,599.5,572.5,447
2709973.288934741,1069990,564.25,564.4375,566.875,562.0,566.375,447
2709965.411673449,1071933,564.75,564.3125,554.25,559.5,568.03125,447
2709970.6919338056,1077170,572.15,570.9375,566.0,567.0,571.03125,447
2709991.9397400906,1094164,563.4,565.125,563.0,565.25,568.1875,447
2709923.6481092595,1078131,575.75,575.3125,570.625,567.0,572.3125,447
2709946.089649731,1064279,570.5,572.9375,576.125,574.5,568.3125,447
2709988.9452115837,1076899,576.05,576.8125,561.875,570.75,578.375,447
2709964.0619455967,1100881,570.5,573.5,569.375,558.0,568.59375,447
2710004.488145638,1085711,582.9,585.9375,592.75,602.75,574.625,447
2709929.46445497,1074187,578.45,575.25,569.75,570.0,577.1875,447
2709985.08142597,1072409,577.1,576.5625,567.875,583.25,572.78125,447
2709978.153778302,1081576,566.9,562.25,568.125,553.25,569.9375,447
2709967.4721126286,1087758,571.9,570.9375,567.625,570.75,569.71875,447
2709977.6110700313,1084299,564.85,569.3125,580.625,568.25,560.375,447
2709923.109445366,1102632,569.75,567.625,572.875,584.0,571.0625,447
2710001.36690123,1108999,572.45,575.3125,577.625,577.0,571.75,447
2709988.6538459826,1074082,579.75,579.0,596.0,594.75,575.3125,447
2709990.880644832,1057274,569.95,570.9375,576.5,580.0,565.84375,447
2709935.0120919924,1086933,568.9,566.125,570.625,576.5,563.1875,447
2709967.1670780396,1098316,569.5,567.75,561.25,565.25,566.5625,447
2709926.479293471,1079074,561.4,564.0625,568.125,570.75,561.84375,447
2709937.575561627,1062486,565.25,564.5625,556.5,544.5,565.59375,447
2709913.417784492,1084278,579.4,577.625,572.375,553.75,575.28125,447
2709930.8257250646,1080331,572.9,570.9375,573.25,581.25,574.71875,447
2709961.8951327507,1064707,577.15,575.0625,575.25,576.5,571.90625,447
2709927.65156835,1053531,568.85,569.0,577.125,579.5,569.1875,447
2709997.202160648,1073357,578.2,580.4375,577.125,585.75,574.40625,447
2709937.8831488322,1063925,575.95,578.125,577.0,582.25,574.125,447
2709992.648831053,1059061,569.85,567.6875,564.125,577.0,569.875,447
2709919.9762084126,1062631,574.95,573.1875,558.625,548.75,572.8125,447
2709973.367553777,1067238,564.45,565.3125,561.375,562.5,564.875,447
2709953.4456945523,1084701,576.2,570.8125,561.375,574.5,575.03125,447
2709961.7893949538,1071233,576.85,572.375,572.875,558.75,575.4375,447
2709961.6920561353,1065884,582.0,580.125,588.625,585.5,580.90625,447
